xing,pinyin,pinyin_tone,pinyin_tone_number
王,wang,wáng,wang2
李,li,lǐ,li3
张,zhang,zhāng,zhang1
刘,liu,liú,liu2
陈,chen,chén,chen2
杨,yang,yáng,yang2
黄,huang,huáng,huang2
吴,wu,wú,wu2
赵,zhao,zhào,zhao4
周,zhou,zhōu,zhou1
徐,xu,xú,xu2
孙,sun,sūn,sun1
马,ma,mǎ,ma3
朱,zhu,zhū,zhu1
胡,hu,hú,hu2
林,lin,lín,lin2
郭,guo,guō,guo1
何,he,hé,he2
高,gao,gāo,gao1
罗,luo,luó,luo2
郑,zheng,zhèng,zheng4
梁,liang,liáng,liang2
谢,xie,xiè,xie4
宋,song,sòng,song4
唐,tang,táng,tang2
许,xu,xǔ,xu3
邓,deng,dèng,deng4
冯,feng,féng,feng2
韩,han,hán,han2
曹,cao,cáo,cao2
曾,zeng,zēng,zeng1
彭,peng,péng,peng2
肖,xiao,xiāo,xiao1
蔡,cai,cài,cai4
潘,pan,pān,pan1
田,tian,tián,tian2
董,dong,dǒng,dong3
袁,yuan,yuán,yuan2
于,yu,yú,yu2
余,yu,yú,yu2
蒋,jiang,jiǎng,jiang3
叶,ye,yè,ye4
杜,du,dù,du4
苏,su,sū,su1
魏,wei,wèi,wei4
程,cheng,chéng,cheng2
吕,lv,lǚ,lv3
丁,ding,dīng,ding1
沈,shen,shěn,shen3
任,ren,rén,ren2
姚,yao,yáo,yao2
卢,lu,lú,lu2
钟,zhong,zhōng,zhong1
姜,jiang,jiāng,jiang1
崔,cui,cuī,cui1
谭,tan,tán,tan2
廖,liao,liào,liao4
范,fan,fàn,fan4
汪,wang,wāng,wang1
陆,lu,lù,lu4
金,jin,jīn,jin1
石,shi,shí,shi2
戴,dai,dài,dai4
贾,jia,jiǎ,jia3
韦,wei,wéi,wei2
夏,xia,xià,xia4
邱,qiu,qiū,qiu1
方,fang,fāng,fang1
侯,hou,hóu,hou2
邹,zou,zōu,zou1
熊,xiong,xióng,xiong2
孟,meng,mèng,meng4
秦,qin,qín,qin2
白,bai,bái,bai2
毛,mao,máo,mao2
江,jiang,jiāng,jiang1
闫,yan,yán,yan2
薛,xue,xuē,xue1
尹,yin,yǐn,yin3
付,fu,fù,fu4
段,duan,duàn,duan4
雷,lei,léi,lei2
黎,li,lí,li2
史,shi,shǐ,shi3
龙,long,lóng,long2
钱,qian,qián,qian2
贺,he,hè,he4
陶,tao,táo,tao2
顾,gu,gù,gu4
龚,gong,gōng,gong1
郝,hao,hǎo,hao3
邵,shao,shào,shao4
万,wan,wàn,wan4
严,yan,yán,yan2
洪,hong,hóng,hong2
赖,lai,lài,lai4
武,wu,wǔ,wu3
傅,fu,fù,fu4
莫,mo,mò,mo4
孔,kong,kǒng,kong3
汤,tang,tāng,tang1
向,xiang,xiàng,xiang4
常,chang,cháng,chang2
温,wen,wēn,wen1
康,kang,kāng,kang1
施,shi,shī,shi1
文,wen,wén,wen2
牛,niu,niú,niu2
樊,fan,fán,fan2
葛,ge,gě,ge3
邢,xing,xíng,xing2
安,an,ān,an1
齐,qi,qí,qi2
易,yi,yì,yi4
乔,qiao,qiáo,qiao2
伍,wu,wǔ,wu3
庞,pang,páng,pang2
颜,yan,yán,yan2
倪,ni,ní,ni2
庄,zhuang,zhuāng,zhuang1
聂,nie,niè,nie4
章,zhang,zhāng,zhang1
鲁,lu,lǔ,lu3
岳,yue,yuè,yue4
翟,zhai,zhái,zhai2
申,shen,shēn,shen1
殷,yin,yīn,yin1
詹,zhan,zhān,zhan1
欧,ou,ōu,ou1
耿,geng,gěng,geng3
关,guan,guān,guan1
覃,qin,qín,qin2
兰,lan,lán,lan2
焦,jiao,jiāo,jiao1
俞,yu,yú,yu2
左,zuo,zuǒ,zuo3
柳,liu,liǔ,liu3
甘,gan,gān,gan1
祝,zhu,zhù,zhu4
包,bao,bāo,bao1
代,dai,dài,dai4
宁,ning,nìng,ning4
符,fu,fú,fu2
阮,ruan,ruǎn,ruan3
尚,shang,shàng,shang4
舒,shu,shū,shu1
纪,ji,jǐ,ji3
柯,ke,kē,ke1
梅,mei,méi,mei2
童,tong,tóng,tong2
毕,bi,bì,bi4
凌,ling,líng,ling2
单,shan,shàn,shan4
季,ji,jì,ji4
成,cheng,chéng,cheng2
霍,huo,huò,huo4
苗,miao,miáo,miao2
裴,pei,péi,pei2
涂,tu,tú,tu2
谷,gu,gǔ,gu3
曲,qu,qū,qu1
盛,sheng,shèng,sheng4
冉,ran,rǎn,ran3
翁,weng,wēng,weng1
蓝,lan,lán,lan2
骆,luo,luò,luo4
路,lu,lù,lu4
游,you,yóu,you2
靳,jin,jìn,jin4
辛,xin,xīn,xin1
管,guan,guǎn,guan3
柴,chai,chái,chai2
蒙,meng,méng,meng2
鲍,bao,bào,bao4
华,hua,huà,hua4
喻,yu,yù,yu4
祁,qi,qí,qi2
房,fang,fáng,fang2
蒲,pu,pú,pu2
滕,teng,téng,teng2
萧,xiao,xiāo,xiao1
屈,qu,qū,qu1
饶,rao,ráo,rao2
解,xie,xiè,xie4
牟,mou,móu,mou2
艾,ai,ài,ai4
尤,you,yóu,you2
时,shi,shí,shi2
阳,yang,yáng,yang2
阎,yan,yán,yan2
穆,mu,mù,mu4
应,ying,yīng,ying1
农,nong,nóng,nong2
司,si,sī,si1
古,gu,gǔ,gu3
吉,ji,jí,ji2
卓,zhuo,zhuó,zhuo2
车,che,chē,che1
简,jian,jiǎn,jian3
连,lian,lián,lian2
缪,miao,miào,miao4
项,xiang,xiàng,xiang4
麦,mai,mài,mai4
褚,chu,chǔ,chu3
窦,dou,dòu,dou4
娄,lou,lóu,lou2
戚,qi,qī,qi1
岑,cen,cén,cen2
党,dang,dǎng,dang3
宫,gong,gōng,gong1
景,jing,jǐng,jing3
卜,bu,bǔ,bu3
费,fei,fèi,fei4
冷,leng,lěng,leng3
晏,yan,yàn,yan4
卫,wei,wèi,wei4
席,xi,xí,xi2
柏,bai,bǎi,bai3
米,mi,mǐ,mi3
隋,sui,suí,sui2
