gender,count,char,position,pinyin
m,13711,文,1,wen
m,12760,志,1,zhi
m,11750,国,1,guo
m,11692,建,1,jian
m,11484,永,1,yong
m,8860,世,1,shi
m,8815,明,1,ming
m,8730,德,1,de
m,7683,晓,1,xiao
m,7535,金,1,jin
m,7511,海,1,hai
m,6768,伟,1,wei
m,6650,子,1,zi
m,6645,家,1,jia
m,6459,振,1,zhen
m,6366,大,1,da
m,6183,立,1,li
m,5934,俊,1,jun
m,5727,玉,1,yu
m,5607,庆,1,qing
m,5596,新,1,xin
m,5373,天,1,tian
m,5274,正,1,zheng
m,5271,学,1,xue
m,5253,光,1,guang
m,5152,洪,1,hong
m,5048,成,1,cheng
m,4852,长,1,zhang
m,4625,东,1,dong
m,4553,少,1,shao
m,4318,兴,1,xing
m,4168,忠,1,zhong
m,4164,云,1,yun
m,4153,华,1,hua
m,3953,广,1,guang
m,3942,春,1,chun
m,3940,荣,1,rong
m,3921,宏,1,hong
m,3808,福,1,fu
m,3722,宝,1,bao
m,3525,泽,1,ze
m,3476,继,1,ji
m,3326,树,1,shu
m,3247,维,1,wei
m,3097,元,1,yuan
m,3074,宗,1,zong
m,3056,启,1,qi
m,3052,中,1,zhong
m,2971,昌,1,chang
m,2955,宇,1,yu
m,2941,传,1,chuan
m,2907,智,1,zhi
m,2903,景,1,jing
m,2793,万,1,wan
m,2757,军,1,jun
m,2750,一,1,yi
m,2742,卫,1,wei
m,2670,瑞,1,rui
m,2624,士,1,shi
m,2574,祖,1,zu
m,2556,克,1,ke
m,2554,红,1,hong
m,2533,祥,1,xiang
m,2516,旭,1,xu
m,2497,浩,1,hao
m,2471,亚,1,ya
m,2462,绍,1,shao
m,2454,仁,1,ren
m,2447,林,1,lin
m,2447,兆,1,zhao
m,2428,龙,1,long
m,2371,朝,1,chao
m,2348,良,1,liang
m,2331,胜,1,sheng
m,2265,培,1,pei
m,2254,耀,1,yao
m,2225,鹏,1,peng
m,2223,安,1,an
m,2222,江,1,jiang
m,2215,远,1,yuan
m,2210,剑,1,jian
m,2137,汉,1,han
m,2128,锦,1,jin
m,2085,松,1,song
m,2043,勇,1,yong
m,2037,友,1,you
m,2031,清,1,qing
m,2019,义,1,yi
m,2011,思,1,si
m,1999,先,1,xian
m,1996,有,1,you
m,1994,延,1,yan
m,1991,炳,1,bing
m,1974,健,1,jian
m,1964,开,1,kai
m,1944,嘉,1,jia
m,1921,彦,1,yan
m,1902,吉,1,ji
m,1898,利,1,li
m,1865,贵,1,gui
m,1859,鸿,1,hong
m,1826,进,1,jin
m,1824,道,1,dao
m,1812,茂,1,mao
m,1761,保,1,bao
m,1760,方,1,fang
m,1760,佳,1,jia
m,1712,其,1,qi
m,1697,顺,1,shun
m,1678,英,1,ying
m,1643,承,1,cheng
m,1627,向,1,xiang
m,1606,书,1,shu
m,1587,连,1,lian
m,1577,富,1,fu
m,1548,全,1,quan
m,1542,贤,1,xian
m,1500,敬,1,jing
m,1500,跃,1,yue
m,1462,凯,1,kai
m,1432,圣,1,sheng
