xing,pinyin,pinyin_tone
王,wang,wáng
李,li,lǐ
张,zhang,zhāng
刘,liu,liú
陈,chen,chén
杨,yang,yáng
黄,huang,huáng
吴,wu,wú
赵,zhao,zhào
周,zhou,zhōu
徐,xu,xú
孙,sun,sūn
马,ma,mǎ
朱,zhu,zhū
胡,hu,hú
林,lin,lín
郭,guo,guō
何,he,hé
高,gao,gāo
罗,luo,luó
郑,zheng,zhèng
梁,liang,liáng
谢,xie,xiè
宋,song,sòng
唐,tang,táng
许,xu,xǔ
邓,deng,dèng
冯,feng,féng
韩,han,hán
曹,cao,cáo
曾,zeng,zēng
彭,peng,péng
肖,xiao,xiāo
蔡,cai,cài
潘,pan,pān
田,tian,tián
董,dong,dǒng
袁,yuan,yuán
于,yu,yú
余,yu,yú
蒋,jiang,jiǎng
叶,ye,yè
杜,du,dù
苏,su,sū
魏,wei,wèi
程,cheng,chéng
吕,lv,lǚ
丁,ding,dīng
沈,shen,shěn
任,ren,rén
姚,yao,yáo
卢,lu,lú
钟,zhong,zhōng
姜,jiang,jiāng
崔,cui,cuī
谭,tan,tán
廖,liao,liào
范,fan,fàn
汪,wang,wāng
陆,lu,lù
金,jin,jīn
石,shi,shí
戴,dai,dài
贾,jia,jiǎ
韦,wei,wéi
夏,xia,xià
邱,qiu,qiū
方,fang,fāng
侯,hou,hóu
邹,zou,zōu
熊,xiong,xióng
孟,meng,mèng
秦,qin,qín
白,bai,bái
毛,mao,máo
江,jiang,jiāng
闫,yan,yán
薛,xue,xuē
尹,yin,yǐn
付,fu,fù
段,duan,duàn
雷,lei,léi
黎,li,lí
史,shi,shǐ
龙,long,lóng
钱,qian,qián
贺,he,hè
陶,tao,táo
顾,gu,gù
龚,gong,gōng
郝,hao,hǎo
邵,shao,shào
万,wan,wàn
严,yan,yán
洪,hong,hóng
赖,lai,lài
武,wu,wǔ
傅,fu,fù
莫,mo,mò
孔,kong,kǒng
汤,tang,tāng
向,xiang,xiàng
常,chang,cháng
温,wen,wēn
康,kang,kāng
施,shi,shī
文,wen,wén
牛,niu,niú
樊,fan,fán
葛,ge,gě
邢,xing,xíng
安,an,ān
齐,qi,qí
易,yi,yì
乔,qiao,qiáo
伍,wu,wǔ
庞,pang,páng
颜,yan,yán
倪,ni,ní
庄,zhuang,zhuāng
聂,nie,niè
章,zhang,zhāng
鲁,lu,lǔ
岳,yue,yuè
翟,zhai,zhái
申,shen,shēn
殷,yin,yīn
詹,zhan,zhān
欧,ou,ōu
耿,geng,gěng
关,guan,guān
覃,qin,qín
兰,lan,lán
焦,jiao,jiāo
俞,yu,yú
左,zuo,zuǒ
柳,liu,liǔ
甘,gan,gān
祝,zhu,zhù
包,bao,bāo
代,dai,dài
宁,ning,nìng
符,fu,fú
阮,ruan,ruǎn
尚,shang,shàng
舒,shu,shū
纪,ji,jǐ
柯,ke,kē
梅,mei,méi
童,tong,tóng
毕,bi,bì
凌,ling,líng
单,shan,shàn
季,ji,jì
成,cheng,chéng
霍,huo,huò
苗,miao,miáo
裴,pei,péi
涂,tu,tú
谷,gu,gǔ
曲,qu,qū
盛,sheng,shèng
冉,ran,rǎn
翁,weng,wēng
蓝,lan,lán
骆,luo,luò
路,lu,lù
游,you,yóu
靳,jin,jìn
辛,xin,xīn
欧阳,ou,ōu
管,guan,guǎn
柴,chai,chái
蒙,meng,méng
鲍,bao,bào
华,hua,huà
喻,yu,yù
祁,qi,qí
房,fang,fáng
蒲,pu,pú
滕,teng,téng
萧,xiao,xiāo
屈,qu,qū
饶,rao,ráo
解,xie,xiè
牟,mou,móu
艾,ai,ài
尤,you,yóu
时,shi,shí
阳,yang,yáng
阎,yan,yán
穆,mu,mù
应,ying,yīng
农,nong,nóng
司,si,sī
古,gu,gǔ
吉,ji,jí
卓,zhuo,zhuó
车,che,chē
简,jian,jiǎn
连,lian,lián
缪,miao,miào
项,xiang,xiàng
麦,mai,mài
褚,chu,chǔ
窦,dou,dòu
娄,lou,lóu
戚,qi,qī
岑,cen,cén
党,dang,dǎng
宫,gong,gōng
景,jing,jǐng
卜,bu,bǔ
费,fei,fèi
冷,leng,lěng
晏,yan,yàn
卫,wei,wèi
席,xi,xí
柏,bai,bǎi
米,mi,mǐ
隋,sui,suí
宗,zong,zōng
桂,gui,guì
瞿,qu,qú
全,quan,quán
苟,gou,gǒu
楼,lou,lóu
闵,min,mǐn
佟,tong,tóng
臧,zang,zāng
边,bian,biān
卞,bian,biàn
姬,ji,jī
邬,wu,wū
和,he,hé
师,shi,shī
仇,qiu,qiú
栾,luan,luán
丘,qiu,qiū
刁,diao,diāo
沙,sha,shā
商,shang,shāng
寇,kou,kòu
荣,rong,róng
巫,wu,wū
郎,lang,láng
桑,sang,sāng
丛,cong,cóng
甄,zhen,zhēn
敖,ao,áo
虞,yu,yú
仲,zhong,zhòng
池,chi,chí
巩,gong,gǒng
明,ming,míng
佘,she,shé
查,zha,zhā
麻,ma,má
苑,yuan,yuàn
迟,chi,chí
邝,kuang,kuàng
封,feng,fēng
官,guan,guān
谈,tan,tán
鞠,ju,jú
匡,kuang,kuāng
惠,hui,huì
荆,jing,jīng
乐,yue,yuè
冀,ji,jì
胥,xu,xū
郁,yu,yù
南,nan,nán
班,ban,bān
储,chu,chǔ
芦,lu,lú
原,yuan,yuán
栗,li,lì
燕,yan,yàn
楚,chu,chǔ
鄢,yan,yān
扬,yang,yáng
劳,lao,láo
谌,chen,chén
奚,xi,xī
皮,pi,pí
蔺,lin,lìn
粟,su,sù
冼,xian,xiǎn
盘,pan,pán
满,man,mǎn
闻,wen,wén
厉,li,lì
伊,yi,yī
候,hou,hòu
仝,tong,tóng
区,ou,ōu
郜,gao,gào
海,hai,hǎi
阚,kan,kàn
花,hua,huā
权,quan,quán
强,qiang,qiáng
帅,shuai,shuài
屠,tu,tú
朴,piao,piáo
盖,ge,gě
练,lian,liàn
廉,lian,lián
禹,yu,yǔ
井,jing,jǐng
巴,ba,bā
漆,qi,qī
祖,zu,zǔ
丰,feng,fēng
支,zhi,zhī
卿,qing,qīng
国,guo,guó
狄,di,dí
平,ping,píng
计,ji,jì
索,suo,suǒ
宣,xuan,xuān
晋,jin,jìn
相,xiang,xiāng
占,zhan,zhān
初,chu,chū
门,men,mén
云,yun,yún
容,rong,róng
敬,jing,jìng
来,lai,lái
扈,hu,hù
晁,chao,cháo
都,du,dū
芮,rui,ruì
普,pu,pǔ
阙,que,què
戈,ge,gē
浦,pu,pǔ
伏,fu,fú
薄,bo,bó
鹿,lu,lù
邸,di,dǐ
雍,yong,yōng
辜,gu,gū
羊,yang,yáng
母,mu,mǔ
亓,qi,qí
裘,qiu,qiú
修,xiu,xiū
邰,tai,tái
杭,hang,háng
赫,he,hè
况,kuang,kuàng
那,na,nā
宿,su,sù
鲜,xian,xiān
逯,lu,lù
印,yin,yìn
隆,long,lóng
习,xi,xí
茹,ru,rú
诸,zhu,zhū
战,zhan,zhàn
慕,mu,mù
危,wei,wēi
玉,yu,yù
银,yin,yín
亢,kang,kàng
公,gong,gōng
嵇,ji,jī
豆,dou,dòu
哈,ha,hā
湛,zhan,zhàn
宾,bin,bīn
勾,gou,gōu
茅,mao,máo
戎,rong,róng
利,li,lì
於,yu,yú
呼,hu,hū
居,ju,jū
干,gan,gàn
揭,jie,jiē
但,dan,dàn
尉,yu,yù
斯,si,sī
元,yuan,yuán
束,shu,shù
檀,tan,tán
衣,yi,yī
信,xin,xìn
阴,yin,yīn
展,zhan,zhǎn
昝,zan,zǎn
智,zhi,zhì
幸,xing,xìng
奉,feng,fèng
植,zhi,zhí
富,fu,fù
衡,heng,héng
昌,chang,chāng
巢,chao,cháo
郦,li,lì
逄,pang,páng
寿,shou,shòu
由,you,yóu
竺,zhu,zhú
贝,bei,bèi
步,bu,bù
东,dong,dōng
鄂,e,è
弓,gong,gōng
过,guo,guò
钮,niu,niǔ
濮,pu,pú
水,shui,shuǐ
蔚,wei,wèi
郗,chi,chī
荀,xun,xún
