gender,char,position,pinyin,pinyin_tone,pinyin_tone_number
m,文,1,wen,wén,wen2
m,志,1,zhi,zhì,zhi4
m,国,1,guo,guó,guo2
m,建,1,jian,jiàn,jian4
m,永,1,yong,yǒng,yong3
m,世,1,shi,shì,shi4
m,明,1,ming,míng,ming2
m,德,1,de,dé,de2
m,晓,1,xiao,xiǎo,xiao3
m,金,1,jin,jīn,jin1
m,海,1,hai,hǎi,hai3
m,伟,1,wei,wěi,wei3
m,子,1,zi,zi,zi
m,家,1,jia,jiā,jia1
m,振,1,zhen,zhèn,zhen4
m,大,1,da,dà,da4
m,立,1,li,lì,li4
m,俊,1,jun,jùn,jun4
m,玉,1,yu,yù,yu4
m,庆,1,qing,qìng,qing4
m,新,1,xin,xīn,xin1
m,天,1,tian,tiān,tian1
m,正,1,zheng,zhèng,zheng4
m,学,1,xue,xué,xue2
m,光,1,guang,guāng,guang1
m,洪,1,hong,hóng,hong2
m,成,1,cheng,chéng,cheng2
m,长,1,zhang,zhǎng,zhang3
m,东,1,dong,dōng,dong1
m,少,1,shao,shǎo,shao3
m,兴,1,xing,xīng,xing1
m,忠,1,zhong,zhōng,zhong1
m,云,1,yun,yún,yun2
m,华,1,hua,huá,hua2
m,广,1,guang,guǎng,guang3
m,春,1,chun,chūn,chun1
m,荣,1,rong,róng,rong2
m,宏,1,hong,hóng,hong2
m,福,1,fu,fú,fu2
m,宝,1,bao,bǎo,bao3
m,泽,1,ze,zé,ze2
m,继,1,ji,jì,ji4
m,树,1,shu,shù,shu4
m,维,1,wei,wéi,wei2
m,元,1,yuan,yuán,yuan2
m,宗,1,zong,zōng,zong1
m,启,1,qi,qǐ,qi3
m,中,1,zhong,zhōng,zhong1
m,昌,1,chang,chāng,chang1
m,宇,1,yu,yǔ,yu3
m,传,1,chuan,chuán,chuan2
m,智,1,zhi,zhì,zhi4
m,景,1,jing,jǐng,jing3
m,万,1,wan,wàn,wan4
m,军,1,jun,jūn,jun1
m,一,1,yi,yī,yi1
m,卫,1,wei,wèi,wei4
m,瑞,1,rui,ruì,rui4
m,士,1,shi,shì,shi4
m,祖,1,zu,zǔ,zu3
m,红,1,hong,hóng,hong2
m,克,1,ke,kè,ke4
m,祥,1,xiang,xiáng,xiang2
m,旭,1,xu,xù,xu4
m,浩,1,hao,hào,hao4
m,亚,1,ya,yà,ya4
m,绍,1,shao,shào,shao4
m,仁,1,ren,rén,ren2
m,林,1,lin,lín,lin2
m,兆,1,zhao,zhào,zhao4
m,龙,1,long,lóng,long2
m,朝,1,chao,cháo,chao2
m,良,1,liang,liáng,liang2
m,胜,1,sheng,shèng,sheng4
m,培,1,pei,péi,pei2
m,耀,1,yao,yào,yao4
m,鹏,1,peng,péng,peng2
m,安,1,an,ān,an1
m,江,1,jiang,jiāng,jiang1
m,远,1,yuan,yuǎn,yuan3
m,剑,1,jian,jiàn,jian4
m,汉,1,han,hàn,han4
m,锦,1,jin,jǐn,jin3
m,松,1,song,sōng,song1
m,勇,1,yong,yǒng,yong3
m,友,1,you,yǒu,you3
m,清,1,qing,qīng,qing1
m,义,1,yi,yì,yi4
m,思,1,si,sī,si1
m,先,1,xian,xiān,xian1
m,有,1,you,yǒu,you3
m,延,1,yan,yán,yan2
m,炳,1,bing,bǐng,bing3
m,健,1,jian,jiàn,jian4
m,开,1,kai,kāi,kai1
m,嘉,1,jia,jiā,jia1
m,彦,1,yan,yàn,yan4
m,吉,1,ji,jí,ji2
m,利,1,li,lì,li4
m,贵,1,gui,guì,gui4
m,鸿,1,hong,hóng,hong2
m,进,1,jin,jìn,jin4
m,道,1,dao,dào,dao4
m,茂,1,mao,mào,mao4
m,保,1,bao,bǎo,bao3
m,方,1,fang,fāng,fang1
m,佳,1,jia,jiā,jia1
m,其,1,qi,qí,qi2
m,顺,1,shun,shùn,shun4
m,英,1,ying,yīng,ying1
m,承,1,cheng,chéng,cheng2
m,向,1,xiang,xiàng,xiang4
m,书,1,shu,shū,shu1
m,连,1,lian,lián,lian2
m,富,1,fu,fù,fu4
m,全,1,quan,quán,quan2
m,贤,1,xian,xián,xian2
m,跃,1,yue,yuè,yue4
m,敬,1,jing,jìng,jing4
m,凯,1,kai,kǎi,kai3
m,圣,1,sheng,shèng,sheng4
m,高,1,gao,gāo,gao1
m,超,1,chao,chāo,chao1
m,孝,1,xiao,xiào,xiao4
m,运,1,yun,yùn,yun4
m,占,1,zhan,zhàn,zhan4
m,日,1,ri,rì,ri4
m,星,1,xing,xīng,xing1
m,生,1,sheng,shēng,sheng1
m,仲,1,zhong,zhòng,zhong4
m,恩,1,en,ēn,en1
m,增,1,zeng,zēng,zeng1
m,守,1,shou,shǒu,shou3
m,辉,1,hui,huī,hui1
m,益,1,yi,yì,yi4
m,武,1,wu,wǔ,wu3
m,杰,1,jie,jié,jie2
m,发,1,fa,fā,fa1
m,铁,1,tie,tiě,tie3
m,乐,1,le,lè,le4
m,力,1,li,lì,li4
m,加,1,jia,jiā,jia1
m,定,1,ding,dìng,ding4
m,怀,1,huai,huái,huai2
m,治,1,zhi,zhì,zhi4
m,锡,1,xi,xī,xi1
m,恒,1,heng,héng,heng2
m,博,1,bo,bó,bo2
m,希,1,xi,xī,xi1
m,平,1,ping,píng,ping2
m,本,1,ben,běn,ben3
m,显,1,xian,xiǎn,xian3
m,爱,1,ai,ài,ai4
m,仕,1,shi,shì,shi4
m,善,1,shan,shàn,shan4
m,尚,1,shang,shàng,shang4
m,飞,1,fei,fēi,fei1
m,伯,1,bo,bó,bo2
m,应,1,ying,yīng,ying1
m,鑫,1,xin,xīn,xin1
m,崇,1,chong,chóng,chong2
m,根,1,gen,gēn,gen1
m,雪,1,xue,xuě,xue3
m,毅,1,yi,yì,yi4
m,康,1,kang,kāng,kang1
m,柏,1,bai,bǎi,bai3
m,焕,1,huan,huàn,huan4
m,和,1,he,hé,he2
m,斌,1,bin,bīn,bin1
m,廷,1,ting,tíng,ting2
m,礼,1,li,lǐ,li3
m,坤,1,kun,kūn,kun1
m,太,1,tai,tài,tai4
m,水,1,shui,shuǐ,shui3
m,达,1,da,dá,da2
m,盛,1,sheng,shèng,sheng4
m,三,1,san,sān,san1
m,强,1,qiang,qiáng,qiang2
m,青,1,qing,qīng,qing1
m,同,1,tong,tóng,tong2
m,为,1,wei,wèi,wei4
m,喜,1,xi,xǐ,xi3
m,宪,1,xian,xiàn,xian4
m,亮,1,liang,liàng,liang4
m,哲,1,zhe,zhé,zhe2
m,政,1,zheng,zhèng,zheng4
m,铭,1,ming,míng,ming2
m,登,1,deng,dēng,deng1
m,会,1,hui,huì,hui4
m,银,1,yin,yín,yin2
m,凤,1,feng,fèng,feng4
m,雄,1,xiong,xióng,xiong2
m,惠,1,hui,huì,hui4
m,作,1,zuo,zuò,zuo4
m,自,1,zi,zì,zi4
m,桂,1,gui,guì,gui4
m,双,1,shuang,shuāng,shuang1
m,奇,1,qi,qí,qi2
m,相,1,xiang,xiāng,xiang1
m,寿,1,shou,shòu,shou4
m,育,1,yu,yù,yu4
